name,category,price,description,prep_minutes,ingredient,ingredient_qty,wastage_percent,barcode
ABC (bottled),Beer,25.00,,2,ABC (bottled),1,,
Club (bottled),Beer,25.00,,2,Club (bottled),1,,
Eagle 330ml,Beer,25.00,,2,Eagle 330ml,1,,
Guinness 330ml,Beer,20.00,,2,Guinness 330ml,1,,
Gulder Large Bottle,Beer,30.00,,2,Gulder Large Bottle,1,,
Orijin (bottled),Beer,25.00,,2,Orijin (bottled),1,,
Savanna,Beer,40.00,,2,Savanna,1,,
Shandy,Beer,25.00,,2,Shandy,1,,
Smirnoff Ice,Beer,30.00,,2,Smirnoff Ice,1,,
Star Large Bottle,Beer,30.00,,2,Star Large Bottle,1,,
African Old Fashioned Herb+Alomo gold,Cocktails,40.00,,3,Herb Afrique Bottle,1.0,,
African Old Fashioned Herb+Alomo gold,Cocktails,,,,Alomo Gold bottle,1.0,,
African Old Fashioned Herb+Alomo gold,Cocktails,,,,Lime,1.0,,
African Old Fashioned Herb+Kalahari,Cocktails,40.00,,3,Herb Afrique Bottle,1.0,,
African Old Fashioned Herb+Kalahari,Cocktails,,,,Kalahari Bottle,1.0,,
African Old Fashioned Herb+Kalahari,Cocktails,,,,Lime,1.0,,
African Old Fashioned Herb+Madingo,Cocktails,40.00,,3,Madingo Bottle,1.0,,
African Old Fashioned Herb+Madingo,Cocktails,,,,Herb Afrique Bottle,1.0,,
African Old Fashioned Herb+Madingo,Cocktails,,,,Lime,1.0,,
Akpeteshie & Soda,Cocktails,40.00,,3,Akpeteshie Bottle,1.0,,
Akpeteshie & Soda,Cocktails,,,,Lime,1.0,,
Akpeteshie & Soda,Cocktails,,,,Soda,1.0,,
Amarula Expresso matini,Cocktails,80.00,,3,Smirnoff Bottle,0.5,,
Amarula Expresso matini,Cocktails,,,,Coffee Stock,15.0,,
Amarula Expresso matini,Cocktails,,,,Amarula bottle,1.0,,
Caipirinha,Cocktails,50.00,,3,Brown sugar,13.0,,
