name,unit,Store room,The bar
ABC (bottled),bottle,216,0
Akpeteshie Bottle,shot,120,202
Alomo Gold bottle,shot,0,12
Basil leave,each,0,0
Black Rock Honey Whiskey Bottle,shot,75,37
Brandy bottle,shot,150,10
Brown sugar,g,0,0
Castle Bridge Gin Bottle,shot,72,4
Coffee Stock,g,0,0
Cola,bottle,48,20
Fanta,bottle,32,35
Gulder Large Bottle,bottle,120,0
Havana Club Bottle,shot,0,4
Herb Afrique Bottle,shot,90,35
Kalahari Bottle,shot,105,42
Lemonade,each,0,32
Lime,each,0,0
Madingo Bottle,shot,75,40
Malt (bottled),bottle,144,8
Plantain chips,each,0,0
Savanna,bottle,72,9
Shandy,bottle,0,19
Smirnoff Bottle,shot,0,40
Sobolo (sorrel),each,0,41
Soda,bottle,84,0
Sprite,bottle,5,12
Star Large Bottle,bottle,60,0
Tonic,bottle,120,13
